Airline,Flight_Distance,Departure_Delay,Arrival_Delay
Air India,2867,70.36,33.24
GoAir,2435,7.6,10.53
Vistara,1321,18.16,23.98
SpiceJet,330,0.0,17.7
Air India,1394,61.53,50.7
SpiceJet,382,62.17,50.99
GoAir,563,55.77,38.2
GoAir,238,38.91,56.1
Air India,2744,0.0,0.0
Vistara,1572,35.7,35.37
IndiGo,1120,14.82,0.56
Air India,2969,47.81,46.49
IndiGo,215,42.9,19.47
IndiGo,692,0.0,16.16
Vistara,1649,38.7,33.77
IndiGo,1331,32.05,53.61
IndiGo,510,0.0,0.78
Vistara,938,35.02,35.89
IndiGo,745,4.21,0.0
IndiGo,2661,0.0,0.68
IndiGo,450,0.0,6.59
Air India,958,11.62,0.0
Air India,2004,27.0,2.64
Air India,1497,0.0,14.0
Vistara,1831,19.75,16.63
GoAir,2114,29.42,16.7
IndiGo,1013,61.55,37.03
IndiGo,228,0.0,0.0
Vistara,1157,6.26,11.07
IndiGo,2232,21.54,26.75
Air India,676,43.69,4.2
GoAir,517,7.39,31.37
SpiceJet,444,44.97,56.6
IndiGo,947,0.0,0.0
Air India,896,0.0,21.29
SpiceJet,471,23.72,37.43
GoAir,1971,0.0,5.01
SpiceJet,1462,0.0,0.0
Air India,2624,1.81,21.49
SpiceJet,465,34.29,25.38
Vistara,1120,0.0,13.23
SpiceJet,539,19.26,51.77
IndiGo,588,40.82,37.35
IndiGo,2824,10.13,0.0
Vistara,2250,5.78,4.01
Air India,1365,25.04,10.69
IndiGo,575,10.2,18.64
GoAir,2233,49.76,27.74
IndiGo,2571,0.0,0.0
IndiGo,345,13.71,0.0
Air India,2181,20.14,17.12
SpiceJet,492,5.54,11.53
IndiGo,631,0.0,0.0
Vistara,904,10.98,16.58
SpiceJet,2198,37.5,30.57
GoAir,2832,34.45,17.64
Air India,598,23.87,52.14
GoAir,1163,0.0,19.38
SpiceJet,2434,24.88,5.97
SpiceJet,2241,0.66,18.04
SpiceJet,2028,23.84,40.35
GoAir,2308,18.04,19.61
SpiceJet,1138,0.0,10.42
GoAir,909,0.0,10.08
SpiceJet,1006,23.88,0.0
Vistara,1663,9.47,8.83
SpiceJet,1525,0.0,1.42
GoAir,210,0.0,26.45
IndiGo,1285,7.4,15.19
SpiceJet,2068,54.2,38.48
IndiGo,2473,1.85,4.94
Vistara,2811,14.65,30.61
Air India,971,17.54,14.51
Vistara,1794,0.0,0.0
SpiceJet,1807,0.0,0.86
IndiGo,1533,0.0,19.11
IndiGo,1084,21.18,27.27
GoAir,1589,17.18,17.69
IndiGo,425,32.56,30.67
GoAir,1024,17.42,8.8
Air India,2465,12.26,10.67
SpiceJet,1136,0.0,0.0
GoAir,3000,37.12,26.56
Air India,2753,0.0,25.19
IndiGo,2506,0.0,0.0
IndiGo,2111,29.18,15.09
Air India,1996,0.0,0.0
IndiGo,253,75.37,35.7
Air India,926,17.0,14.1
GoAir,2936,23.7,12.32
GoAir,1744,0.0,31.43
Air India,1243,7.12,5.74
GoAir,2113,4.33,27.37
GoAir,1976,1.45,20.54
GoAir,1796,30.82,23.44
Vistara,2114,3.76,39.28
SpiceJet,2666,40.44,37.33
IndiGo,2937,81.58,84.8
Vistara,1049,7.61,31.28
GoAir,2309,18.81,24.39
Air India,2463,24.49,33.41
GoAir,202,60.29,56.56
SpiceJet,359,12.93,0.0
GoAir,980,0.0,5.86
Air India,1092,0.0,21.11
SpiceJet,2230,13.55,37.38
GoAir,2576,3.79,0.0
SpiceJet,779,65.25,58.61
IndiGo,2133,59.25,48.74
IndiGo,1580,0.0,3.23
GoAir,1490,0.0,10.34
SpiceJet,1840,16.84,20.06
Air India,1151,49.93,48.07
GoAir,2882,16.43,38.12
IndiGo,1187,0.0,16.76
IndiGo,1418,13.53,19.13
GoAir,1120,0.0,32.97
SpiceJet,2985,30.06,42.69
IndiGo,1555,0.0,3.61
SpiceJet,369,2.24,0.0
IndiGo,720,44.05,21.02
IndiGo,1686,0.0,19.0
Vistara,239,0.0,0.0
IndiGo,1760,17.37,2.04
Air India,1618,5.99,0.0
GoAir,1154,27.79,14.14
GoAir,1183,22.94,33.82
SpiceJet,1174,14.2,12.59
IndiGo,237,13.47,0.0
Air India,2575,0.0,5.47
SpiceJet,1474,17.08,20.29
Vistara,1399,37.03,23.73
SpiceJet,1825,0.0,22.34
SpiceJet,1113,14.87,9.09
IndiGo,653,40.96,50.3
Vistara,236,27.64,33.3
SpiceJet,1911,47.74,52.31
Air India,995,0.8,0.0
Air India,1172,0.0,6.47
GoAir,792,20.02,18.22
Vistara,1337,24.06,0.51
Vistara,1524,49.21,56.02
GoAir,2471,44.7,24.03
SpiceJet,517,28.42,15.75
Vistara,2596,34.13,13.69
Air India,2362,10.2,22.66
Air India,2945,0.0,0.0
IndiGo,1546,17.94,26.83
Vistara,1791,39.56,48.36
SpiceJet,2089,31.41,35.04
GoAir,2287,35.85,40.78
GoAir,2196,4.31,19.41
SpiceJet,1972,8.36,0.0
IndiGo,1512,27.09,45.48
GoAir,1485,1.34,0.0
Vistara,415,2.11,5.48
IndiGo,2583,22.45,15.73
Vistara,2339,34.02,36.19
Air India,2600,10.01,3.94
IndiGo,2818,0.0,6.0
GoAir,1904,0.0,0.0
IndiGo,562,20.09,36.53
IndiGo,2804,19.79,28.91
IndiGo,1916,21.03,15.34
IndiGo,1393,28.03,17.59
Vistara,555,15.15,25.27
Air India,390,21.63,9.53
SpiceJet,2669,13.87,16.59
IndiGo,899,43.72,53.02
GoAir,2254,50.81,28.4
IndiGo,2380,0.0,10.53
GoAir,756,8.62,15.77
Vistara,1025,15.82,14.61
GoAir,1254,8.33,3.27
SpiceJet,2782,59.82,65.1
Air India,625,20.6,10.46
GoAir,2919,0.0,0.0
GoAir,2610,29.91,35.55
Air India,1774,21.77,2.22
SpiceJet,2329,22.6,31.2
IndiGo,2603,60.2,67.16
GoAir,788,23.77,31.08
Air India,2212,7.41,26.26
Vistara,1747,0.0,35.3
Air India,494,10.87,27.11
Vistara,2185,47.65,43.31
SpiceJet,1447,12.72,38.41
IndiGo,1748,0.0,31.32
Air India,1890,2.54,33.31
GoAir,1336,39.82,25.49
SpiceJet,1456,28.65,4.74
Air India,2264,0.0,0.0
GoAir,559,0.87,16.16
Air India,899,4.73,10.7
Vistara,647,0.0,1.9
Air India,2612,0.0,13.41
Air India,874,34.09,6.8
Air India,1207,46.43,39.62
SpiceJet,1549,0.0,21.78
Air India,2714,46.1,45.51
GoAir,2661,12.42,24.07
Vistara,785,45.63,60.9
Vistara,1456,15.95,15.17
Air India,1447,18.39,8.08
SpiceJet,1193,24.31,39.86
SpiceJet,1635,0.0,22.57
GoAir,771,44.87,44.78
Air India,2582,0.0,2.59
Vistara,1445,4.95,8.48
SpiceJet,2284,28.11,5.52
Air India,1188,2.27,23.28
SpiceJet,477,34.44,45.27
SpiceJet,1419,49.4,19.9
Vistara,2087,40.31,46.23
IndiGo,683,0.0,11.06
GoAir,1465,18.15,2.37
GoAir,930,40.72,15.41
Vistara,2439,0.0,10.6
SpiceJet,1240,33.09,22.2
Air India,2771,31.69,54.48
SpiceJet,1117,0.0,19.29
Vistara,2648,35.86,37.2
GoAir,1085,21.82,28.12
SpiceJet,2952,31.26,46.84
GoAir,221,0.0,17.7
Air India,673,18.75,25.62
GoAir,2457,0.0,0.0
GoAir,2553,0.0,50.93
IndiGo,903,18.52,1.42
IndiGo,886,42.51,30.07
IndiGo,484,21.32,0.0
GoAir,915,13.41,22.47
Vistara,962,10.31,14.48
GoAir,1450,0.0,16.48
Vistara,1147,9.45,0.0
Vistara,2628,25.54,39.57
IndiGo,2707,4.12,0.0
SpiceJet,1230,33.76,26.4
Air India,228,19.9,32.9
IndiGo,1106,22.92,24.97
IndiGo,2326,37.22,36.03
SpiceJet,2706,1.83,18.27
Air India,769,31.48,33.47
GoAir,2206,5.34,3.62
GoAir,1653,23.49,18.94
IndiGo,937,0.0,8.18
Air India,715,0.0,0.0
IndiGo,2200,17.3,32.05
Vistara,2644,0.0,9.33
IndiGo,238,7.59,11.44
IndiGo,1086,0.0,22.89
GoAir,2404,34.48,27.33
GoAir,1298,41.25,31.14
GoAir,2023,0.0,0.0
Vistara,1910,25.71,28.14
GoAir,1173,37.48,35.86
Air India,1762,37.56,21.3
SpiceJet,2995,20.36,16.59
Air India,1188,33.36,18.46
Air India,220,0.0,0.0
GoAir,2550,17.08,0.0
SpiceJet,1068,3.32,3.86
SpiceJet,283,0.0,0.0
SpiceJet,1882,15.9,9.19
Vistara,2176,23.69,12.39
GoAir,1610,44.09,51.64
SpiceJet,1730,21.63,4.92
Vistara,769,31.05,15.32
IndiGo,1133,31.33,21.21
IndiGo,2180,82.19,53.83
Vistara,2055,0.0,25.54
Vistara,992,0.0,0.0
GoAir,991,51.85,35.6
GoAir,2009,6.2,14.32
IndiGo,1494,37.15,44.22
SpiceJet,2739,20.75,13.82
IndiGo,2455,67.63,23.57
SpiceJet,1807,0.0,2.75
SpiceJet,1283,45.55,57.16
GoAir,2677,58.74,50.35
Air India,1184,0.0,8.55
Air India,1880,34.57,13.25
Vistara,719,0.0,0.0
GoAir,790,15.75,16.3
SpiceJet,1250,8.59,0.0
Air India,1909,0.0,16.72
SpiceJet,2235,25.61,10.22
Air India,2446,18.58,17.64
Air India,2634,51.98,13.1
Air India,548,30.28,20.29
GoAir,1159,72.27,37.8
IndiGo,2163,17.68,0.0
SpiceJet,892,12.36,21.78
GoAir,1759,10.39,36.89
GoAir,577,4.01,24.75
GoAir,726,0.0,15.23
GoAir,2981,9.5,5.43
GoAir,2453,0.0,17.09
Vistara,2702,26.3,41.77
SpiceJet,1459,0.0,7.05
GoAir,2075,0.0,0.0
SpiceJet,1963,0.0,0.0
Vistara,720,9.88,37.45
Vistara,1901,15.17,14.5
SpiceJet,1216,42.11,0.0
Air India,2973,0.56,0.0
IndiGo,1213,27.0,17.54
Air India,2748,83.27,78.83
Air India,316,24.43,18.01
Air India,2633,10.49,28.16
GoAir,1567,0.0,0.0
Vistara,783,10.14,0.0
Air India,594,0.0,0.0
Vistara,1287,21.72,25.38
SpiceJet,2968,17.59,21.24
IndiGo,271,0.0,0.0
SpiceJet,473,14.54,9.91
SpiceJet,2213,41.9,74.6
GoAir,1543,5.02,0.0
IndiGo,537,0.0,14.91
SpiceJet,1589,0.0,0.0
SpiceJet,806,0.0,17.96
IndiGo,365,35.78,16.66
IndiGo,1767,10.46,18.36
SpiceJet,2258,34.3,9.64
IndiGo,1524,53.28,46.66
SpiceJet,928,38.03,17.99
SpiceJet,2243,1.44,0.0
GoAir,301,18.62,24.66
Air India,1615,0.0,0.0
SpiceJet,978,0.0,10.71
Vistara,413,23.57,18.64
Air India,1311,0.0,6.01
Air India,1776,0.0,11.68
Air India,2648,0.0,0.0
GoAir,2835,7.33,0.0
SpiceJet,1895,53.03,34.14
GoAir,791,2.73,24.84
SpiceJet,1533,27.8,26.2
GoAir,1309,10.79,0.0
GoAir,2339,45.66,42.99
Vistara,2920,43.93,42.77
GoAir,913,44.4,43.88
IndiGo,1135,0.0,0.0
Vistara,2151,20.17,8.88
GoAir,441,33.97,18.63
Air India,2243,24.54,16.77
IndiGo,201,30.91,34.72
IndiGo,2472,16.46,20.96
IndiGo,1968,0.0,10.63
Vistara,2149,0.0,25.31
GoAir,2836,0.0,15.33
GoAir,2363,81.95,60.24
Air India,1117,2.86,0.0
Air India,2441,0.0,0.0
IndiGo,289,33.32,24.4
Air India,1909,36.39,42.91
Vistara,2369,47.18,37.62
GoAir,342,26.77,13.9
IndiGo,305,36.14,19.3
Air India,1086,61.01,46.66
Vistara,627,0.0,18.35
Vistara,1528,0.0,28.87
Air India,2095,0.0,1.91
GoAir,2194,8.36,10.18
Air India,516,50.84,22.38
IndiGo,2186,28.2,53.83
Air India,834,27.22,3.04
Vistara,2125,0.0,22.57
Air India,2256,0.0,0.0
GoAir,2470,0.0,0.0
SpiceJet,1639,44.28,19.35
Air India,752,54.64,79.4
GoAir,915,34.49,32.46
GoAir,1487,0.0,5.32
Vistara,1913,52.05,54.74
GoAir,2083,8.67,1.31
GoAir,1307,0.0,5.03
GoAir,1541,0.0,5.85
GoAir,310,4.25,0.29
IndiGo,450,16.24,34.36
IndiGo,2630,10.97,9.4
Vistara,2254,0.0,0.0
Air India,658,45.33,32.21
GoAir,1307,11.23,16.6
Air India,407,0.0,0.0
Air India,1099,42.76,22.71
Vistara,221,0.0,0.0
GoAir,609,0.0,23.32
GoAir,1094,46.81,30.46
SpiceJet,714,62.28,70.04
Air India,1008,3.45,0.0
Air India,1073,13.85,19.57
IndiGo,213,0.0,0.0
SpiceJet,1170,15.14,26.91
IndiGo,2334,3.11,0.0
IndiGo,1760,12.45,24.86
IndiGo,1524,25.23,24.37
Vistara,1466,0.0,0.0
Vistara,2369,5.95,6.67
IndiGo,949,0.0,28.01
SpiceJet,884,6.13,11.36
Air India,2127,12.66,3.32
SpiceJet,2556,20.72,1.44
GoAir,894,20.99,27.27
Vistara,2535,37.6,34.26
Air India,506,0.0,15.43
Air India,2189,0.0,0.0
GoAir,861,28.22,7.17
GoAir,748,0.0,22.2
IndiGo,511,19.58,23.68
Vistara,1282,0.0,13.0
Vistara,1937,54.32,28.58
SpiceJet,954,21.26,5.17
IndiGo,234,9.52,26.53
IndiGo,644,45.69,52.56
IndiGo,2340,0.0,0.0
IndiGo,2182,0.0,0.0
Vistara,1430,0.0,3.37
Vistara,552,0.0,0.0
IndiGo,1102,16.53,4.27
SpiceJet,1555,27.35,5.37
Air India,1948,39.04,25.3
Air India,358,0.0,0.0
SpiceJet,2177,10.7,0.0
IndiGo,1156,0.0,9.48
Vistara,2271,9.87,11.08
Air India,603,73.35,63.62
GoAir,715,22.3,0.0
GoAir,2979,37.49,31.39
SpiceJet,1587,64.02,80.95
IndiGo,2779,43.18,29.64
Air India,1155,3.8,20.03
IndiGo,2399,0.0,17.24
Air India,1912,14.25,27.95
SpiceJet,807,0.81,8.07
SpiceJet,2667,0.0,13.49
GoAir,1473,21.02,30.2
IndiGo,1735,21.65,29.68
GoAir,2825,59.23,29.7
IndiGo,2582,5.96,0.0
GoAir,1641,22.0,0.0
Vistara,1997,0.0,0.95
Vistara,494,36.83,39.69
Vistara,954,11.88,0.0
Vistara,1594,0.0,18.86
Air India,385,14.66,7.73
Vistara,1469,24.76,14.94
SpiceJet,836,21.38,7.43
SpiceJet,1491,41.15,5.53
Air India,729,0.0,8.44
Vistara,2268,0.0,30.69
Vistara,993,30.99,25.76
Vistara,2347,0.0,0.0
GoAir,2999,21.01,31.41
IndiGo,677,0.0,0.0
GoAir,1822,82.9,44.89
IndiGo,1139,8.26,7.2
Vistara,725,44.85,38.24
Vistara,2581,6.58,0.0
GoAir,201,25.37,18.6
GoAir,574,52.3,52.34
IndiGo,2540,44.15,48.68
SpiceJet,752,9.89,30.69
IndiGo,2565,11.62,41.77
GoAir,1725,40.09,45.21
GoAir,2051,73.33,53.08
Air India,580,19.81,31.75
GoAir,1846,63.93,56.75
Air India,213,8.96,18.87
SpiceJet,703,38.8,34.82
IndiGo,2478,42.53,21.09
IndiGo,2208,4.75,0.0
Air India,329,0.0,3.54
IndiGo,1037,43.63,37.78
GoAir,2240,1.71,0.0
Vistara,227,0.0,11.35
Air India,2313,0.0,36.21
IndiGo,1452,1.61,0.0
Air India,460,36.42,39.22
Air India,2246,27.88,23.52
Vistara,1672,32.89,34.78
GoAir,1647,25.53,16.41
Air India,659,0.15,2.92
IndiGo,500,32.43,29.64
SpiceJet,2534,44.56,31.67
Air India,829,29.61,2.92
Air India,469,26.24,19.86
Vistara,2839,0.0,0.0
GoAir,2193,20.3,29.0
SpiceJet,1828,0.0,0.0
IndiGo,2001,14.4,30.51
SpiceJet,1061,0.0,11.44
IndiGo,1480,0.0,11.5
GoAir,2380,10.22,0.0
IndiGo,1999,1.29,0.97
Vistara,1906,17.67,34.67
Vistara,2760,11.63,5.36
Vistara,2560,15.75,0.0
Vistara,775,30.22,16.6
SpiceJet,2203,3.42,6.37
GoAir,1507,9.51,0.0
IndiGo,2156,51.38,59.47
IndiGo,2934,15.08,14.58
Vistara,2220,10.52,4.03
Vistara,2412,17.06,0.0
Air India,2552,10.97,19.94
GoAir,1855,0.0,11.92
SpiceJet,1779,0.0,0.0
IndiGo,2047,0.0,0.0
Air India,2403,36.82,36.94
Air India,1590,0.0,2.2
IndiGo,1942,11.13,17.83
SpiceJet,2125,32.52,57.12
Air India,819,8.04,10.23
Air India,1474,30.83,18.88
GoAir,1156,0.0,0.0
SpiceJet,2139,11.69,8.49
Air India,2581,16.97,19.29
SpiceJet,1168,15.58,16.7
IndiGo,2758,0.0,30.85
Vistara,1516,45.08,44.04
Air India,1243,0.0,2.98
GoAir,481,23.38,10.76
IndiGo,2366,15.2,19.64
SpiceJet,1258,40.09,19.46
IndiGo,397,69.69,56.48
Air India,2732,0.0,12.31
SpiceJet,1282,0.0,1.75
Vistara,1384,19.73,9.35
IndiGo,1208,0.0,0.0
Air India,2938,34.55,46.35
GoAir,1429,36.08,36.31
SpiceJet,1235,28.99,31.7
IndiGo,689,20.91,0.0
IndiGo,475,49.24,60.17
Vistara,2940,0.0,0.0
Vistara,2489,16.63,12.31
GoAir,1439,0.0,0.0
GoAir,1474,37.25,4.27
Air India,325,0.0,22.36
Air India,416,14.3,34.31
GoAir,1408,23.38,18.88
GoAir,1446,0.0,0.0
SpiceJet,2742,0.0,0.0
Vistara,2674,15.38,10.52
Air India,1118,38.88,14.22
Vistara,1517,0.0,0.62
Vistara,2398,0.0,7.3
GoAir,2631,43.14,50.47
SpiceJet,1861,8.18,10.94
IndiGo,507,0.0,0.0
SpiceJet,1559,33.22,33.56
SpiceJet,2169,2.8,3.12
Vistara,2993,40.69,54.04
SpiceJet,1091,0.0,26.44
Air India,574,11.01,34.67
Vistara,2233,38.62,23.61
Air India,1564,9.34,41.39
IndiGo,328,33.9,34.0
Vistara,1214,13.36,38.75
IndiGo,1999,64.54,42.64
Vistara,2916,54.22,38.47
GoAir,1581,0.0,9.11
