Age,Income,Gender,Education,Purchased
66,110648,Female,Masters,0
69,116134,Male,Bachelors,1
59,55454,Female,PhD,0
23,118537,Male,Bachelors,1
32,82672,Female,Masters,0
60,47228,Male,PhD,0
54,34429,Female,Masters,0
50,104294,Male,Masters,0
25,87808,Female,Bachelors,1
61,102886,Female,Masters,1
61,73015,Male,Bachelors,1
22,108074,Male,PhD,1
56,88936,Female,PhD,1
21,100907,Male,Bachelors,1
23,77378,Female,Bachelors,1
62,57310,Female,Bachelors,1
49,103683,Male,Masters,1
69,88827,Male,PhD,1
47,55256,Male,PhD,1
64,96428,Female,Masters,0
52,119862,Female,Bachelors,0
57,58889,Male,PhD,0
69,71428,Female,Masters,0
33,57207,Female,Bachelors,0
30,70255,Male,PhD,1
67,111531,Female,Bachelors,1
59,25409,Female,Masters,0
47,62438,Female,PhD,1
36,115359,Male,Bachelors,0
34,27869,Male,Bachelors,1
36,76862,Female,Bachelors,1
45,107937,Male,Masters,0
43,45958,Female,Bachelors,0
54,96302,Male,PhD,0
43,39768,Female,PhD,1
40,116330,Female,Bachelors,0
26,46145,Female,Masters,1
29,95622,Female,PhD,1
18,46442,Male,PhD,1
18,101948,Female,PhD,1
64,45596,Female,Bachelors,0
51,95791,Male,PhD,0
49,62406,Male,Bachelors,0
65,60524,Female,Bachelors,0
42,43332,Female,Bachelors,1
57,35764,Male,Bachelors,0
62,47563,Female,Bachelors,0
18,107675,Female,PhD,0
33,56370,Female,Bachelors,0
56,25062,Female,Bachelors,1
22,64645,Female,Bachelors,1
39,27244,Female,Bachelors,1
46,26372,Female,Bachelors,1
20,105501,Female,Bachelors,0
29,84471,Female,PhD,1
43,36956,Male,Bachelors,0
33,60473,Male,Bachelors,0
68,33894,Male,PhD,0
54,118918,Female,PhD,0
39,89586,Female,Masters,1
46,36709,Female,PhD,1
31,101258,Male,PhD,0
45,35210,Male,Bachelors,1
22,69510,Female,Masters,1
64,58674,Male,Bachelors,0
66,37733,Male,Masters,0
47,40080,Female,Bachelors,1
63,73412,Female,PhD,0
69,78971,Male,PhD,1
22,59709,Female,Masters,0
29,79846,Male,Bachelors,0
33,85480,Male,Bachelors,0
43,72960,Male,PhD,0
43,61152,Female,PhD,1
65,47250,Male,Masters,1
38,105765,Male,PhD,1
56,68137,Female,Masters,1
53,102011,Female,Masters,0
50,66412,Male,Masters,0
47,63876,Female,Masters,1
54,114547,Female,PhD,1
40,93664,Male,Masters,1
27,70227,Female,PhD,1
22,52450,Male,Masters,1
53,104433,Female,PhD,0
51,93704,Female,Masters,1
69,26861,Male,PhD,1
48,81914,Male,Bachelors,0
27,83888,Female,Masters,0
36,99286,Female,Masters,1
49,81293,Female,Bachelors,1
18,102524,Male,Bachelors,1
22,88515,Female,Masters,0
62,43524,Male,PhD,1
21,27065,Female,Masters,1
33,57684,Female,PhD,0
41,108720,Female,Bachelors,0
33,53365,Female,PhD,0
19,78876,Female,Masters,0
66,43704,Male,Bachelors,1
45,77857,Male,Bachelors,0
49,25622,Male,Masters,0
44,103797,Female,Masters,0
37,113955,Male,Bachelors,1
41,111141,Male,PhD,0
29,114707,Female,PhD,1
67,107700,Female,PhD,0
52,99332,Male,Masters,1
50,116856,Male,Bachelors,1
50,86201,Male,PhD,1
68,52694,Male,Bachelors,0
60,109766,Male,PhD,1
54,42995,Male,Bachelors,0
29,112320,Male,Masters,0
20,100141,Female,Masters,1
18,102999,Male,Masters,0
50,28419,Female,PhD,1
57,67952,Female,Masters,0
27,53837,Female,Masters,1
60,90799,Male,Masters,0
61,68877,Male,Bachelors,1
46,65687,Female,Bachelors,0
30,119667,Male,Bachelors,0
29,57276,Male,Bachelors,1
48,54523,Female,Bachelors,0
63,86055,Male,Bachelors,0
19,74615,Female,Bachelors,1
68,116642,Female,Masters,1
67,30514,Female,Masters,1
52,67456,Female,PhD,1
40,27233,Male,Masters,1
34,21102,Female,Bachelors,0
43,86133,Male,Bachelors,1
25,66715,Male,PhD,0
46,105193,Male,Masters,0
43,26256,Male,Masters,0
27,84800,Female,PhD,0
43,114937,Female,Bachelors,0
51,61548,Female,Bachelors,1
68,92090,Female,Bachelors,1
58,98200,Female,Bachelors,1
24,62367,Male,PhD,1
21,109922,Female,Masters,1
67,90382,Male,Bachelors,1
62,46205,Male,Masters,0
28,45570,Female,Masters,1
46,50255,Male,Bachelors,1
53,41182,Male,Bachelors,1
42,59373,Female,Bachelors,1
38,63019,Female,Masters,1
53,82619,Female,PhD,0
27,36043,Male,Bachelors,0
54,65532,Female,Masters,0
26,85936,Female,Masters,1
41,39239,Male,Bachelors,1
52,30416,Female,PhD,1
66,23412,Male,Bachelors,0
52,101976,Male,Bachelors,0
65,44406,Female,PhD,1
53,21875,Male,Bachelors,1
35,57066,Male,Bachelors,0
66,25752,Female,PhD,0
56,106753,Female,Masters,0
49,98025,Female,Masters,1
41,21353,Male,Masters,0
40,46986,Male,Masters,1
49,106907,Female,Masters,1
54,34691,Female,Bachelors,1
29,89847,Female,PhD,0
66,68075,Male,Masters,0
30,30794,Female,PhD,0
40,88470,Male,Masters,0
42,36406,Female,Bachelors,1
52,95930,Male,Masters,1
58,46872,Male,Masters,1
47,61708,Female,PhD,1
34,40800,Male,PhD,0
66,63397,Male,Bachelors,1
37,57909,Female,PhD,0
65,41352,Female,PhD,1
42,113848,Male,PhD,0
39,35438,Male,Bachelors,1
30,108921,Male,Bachelors,1
36,64999,Female,Bachelors,0
66,38482,Male,PhD,1
53,52471,Male,PhD,0
29,67279,Female,Bachelors,1
58,74213,Female,PhD,0
36,33026,Female,PhD,0
29,105184,Female,Masters,0
26,25435,Female,Bachelors,0
24,28493,Male,Bachelors,1
45,92227,Male,PhD,0
31,79321,Male,PhD,0
48,22763,Female,Masters,0
69,40389,Female,Bachelors,0
36,51498,Female,Bachelors,1
64,83755,Male,PhD,0
33,55825,Female,Bachelors,1
22,36934,Female,PhD,1
52,25574,Female,Masters,0
29,58179,Male,PhD,0
42,21587,Female,Masters,0
69,62782,Female,PhD,0
38,74412,Male,Masters,1
53,80561,Female,Masters,1
40,97224,Female,Bachelors,0
33,24409,Female,PhD,0
56,91319,Male,Bachelors,1
62,119016,Female,Bachelors,1
59,46751,Female,PhD,0
56,58174,Male,Bachelors,0
31,76572,Male,Bachelors,0
48,81416,Female,Bachelors,0
22,32041,Male,PhD,0
52,43227,Female,Bachelors,0
40,55201,Male,Bachelors,1
46,56069,Female,Bachelors,1
60,102190,Female,PhD,1
28,46370,Female,Masters,1
35,115018,Male,Masters,0
64,31586,Male,Masters,0
29,70231,Female,Masters,1
26,25322,Female,Bachelors,0
27,85294,Female,PhD,0
61,99468,Female,Bachelors,0
34,49299,Male,PhD,1
55,110715,Male,Bachelors,1
24,90793,Female,Masters,1
63,66501,Male,Masters,1
30,77134,Male,PhD,1
57,29777,Male,Bachelors,1
59,31249,Female,Masters,1
26,41390,Female,PhD,0
67,40369,Male,Bachelors,1
44,32881,Male,PhD,0
19,29587,Female,Bachelors,0
22,113800,Female,Bachelors,1
46,94327,Female,Bachelors,0
54,107911,Male,PhD,0
55,108147,Male,PhD,1
36,27833,Male,Bachelors,0
25,67013,Female,Masters,1
65,83620,Female,Bachelors,0
62,35754,Female,PhD,0
18,98113,Female,Bachelors,0
39,116631,Female,PhD,0
69,106784,Male,Bachelors,1
34,55282,Male,Bachelors,1
24,56737,Male,Masters,1
42,117427,Female,Masters,0
62,44124,Male,PhD,0
21,90102,Female,Bachelors,0
53,22196,Male,PhD,0
23,81527,Male,Bachelors,1
48,116651,Female,Bachelors,0
36,105395,Male,Bachelors,1
61,31345,Male,Masters,0
56,54077,Male,PhD,0
44,86400,Male,Bachelors,1
27,32055,Male,Bachelors,1
43,105283,Male,PhD,1
36,64484,Male,PhD,1
56,97514,Female,Bachelors,0
20,110135,Male,Masters,1
62,55771,Female,Masters,1
30,77654,Male,Bachelors,0
67,66540,Female,Masters,0
45,103151,Female,PhD,0
37,49377,Male,Masters,0
45,115567,Female,PhD,1
25,69573,Female,PhD,1
58,62733,Male,PhD,0
56,31760,Female,PhD,1
18,119250,Male,Masters,1
20,45762,Female,PhD,0
30,70986,Female,Bachelors,1
45,54332,Female,PhD,1
66,60100,Female,Bachelors,0
42,24944,Male,PhD,1
50,68825,Male,PhD,1
55,33877,Male,Masters,0
23,49990,Male,PhD,1
61,119612,Male,PhD,0
62,75283,Female,Masters,0
49,23258,Male,Masters,0
62,51629,Female,Bachelors,0
64,57579,Male,Masters,0
38,42958,Male,Bachelors,0
33,59465,Male,PhD,1
38,105853,Male,Bachelors,0
28,35775,Female,Masters,1
54,96575,Male,PhD,0
53,114633,Female,Bachelors,0
52,54207,Female,Bachelors,0
36,42553,Male,Bachelors,1
37,73632,Female,PhD,1
35,20055,Female,Bachelors,0
64,108697,Male,Bachelors,1
58,52873,Female,Masters,0
66,100720,Male,Bachelors,0
31,86205,Male,PhD,1
32,98199,Female,Masters,0
48,45318,Female,PhD,0
18,53734,Female,Masters,1
20,102227,Female,Masters,0
33,38522,Female,Bachelors,0
40,31656,Female,PhD,1
28,35893,Female,Bachelors,1
29,36493,Male,Masters,0
27,23632,Male,Bachelors,0
49,115872,Male,Masters,1
33,108648,Female,Masters,1
25,81779,Female,PhD,0
55,58452,Female,PhD,1
29,33266,Male,PhD,1
41,81607,Male,PhD,1
45,36940,Male,Bachelors,0
25,44003,Female,PhD,0
45,118408,Male,PhD,0
53,54815,Male,PhD,0
43,50869,Female,Masters,0
25,69297,Male,Masters,1
67,80107,Male,PhD,1
45,102793,Male,Masters,1
45,36682,Female,Masters,0
54,39622,Male,Bachelors,0
58,50408,Female,Masters,1
53,28837,Female,Bachelors,1
44,84210,Male,Masters,1
34,35407,Male,PhD,1
26,49309,Female,Masters,0
50,91918,Female,Masters,0
37,113190,Female,Bachelors,1
30,38895,Female,PhD,0
45,119087,Female,Bachelors,0
65,106912,Male,PhD,0
46,20370,Female,PhD,0
30,20486,Male,Bachelors,1
63,43762,Female,Masters,1
52,46613,Male,PhD,0
23,23196,Female,Masters,1
35,114937,Male,Bachelors,0
68,96349,Male,Bachelors,1
22,84839,Female,Bachelors,1
64,61916,Female,Bachelors,1
42,28572,Male,PhD,1
19,48225,Male,Bachelors,1
27,65853,Male,Masters,1
47,69390,Female,Masters,1
67,52275,Female,PhD,0
62,92379,Female,Bachelors,1
22,21105,Female,PhD,0
50,79896,Male,PhD,1
18,63209,Female,PhD,1
35,117175,Female,Bachelors,1
49,62487,Female,Masters,0
64,38051,Female,Masters,0
66,114244,Female,PhD,0
28,97400,Male,PhD,0
38,86961,Female,Masters,0
43,80156,Male,Masters,1
42,77175,Female,Bachelors,0
39,26849,Female,PhD,0
44,38976,Female,Bachelors,0
66,119794,Female,Masters,1
30,76866,Male,Masters,1
50,67078,Male,Masters,1
51,51113,Female,Masters,0
58,35401,Male,Bachelors,1
52,32884,Male,Masters,0
18,104360,Female,PhD,1
38,57563,Male,Masters,1
65,54414,Male,PhD,1
23,36142,Female,Masters,1
45,91492,Female,Bachelors,1
34,99464,Male,PhD,0
22,95257,Female,Bachelors,0
48,96693,Female,Masters,1
22,55135,Female,Bachelors,0
55,92232,Male,Masters,1
20,47862,Female,Bachelors,1
40,25190,Female,Bachelors,1
54,90199,Male,PhD,1
54,24331,Male,Masters,1
27,72186,Male,Bachelors,1
27,64648,Male,Masters,1
36,48549,Male,PhD,0
34,101782,Female,Bachelors,0
38,45761,Male,Masters,1
31,23262,Female,Bachelors,0
26,71259,Male,Bachelors,1
63,92572,Female,Bachelors,0
18,73472,Female,Bachelors,0
68,107858,Male,PhD,1
62,104667,Male,PhD,1
30,24677,Male,Masters,0
21,93508,Male,Masters,1
18,100865,Male,Bachelors,0
66,70617,Male,Bachelors,1
57,106029,Female,Bachelors,0
49,38595,Female,PhD,0
51,107459,Female,Bachelors,0
45,80148,Female,Masters,1
48,66926,Female,Bachelors,0
25,95271,Male,PhD,1
56,54457,Male,Bachelors,1
43,62531,Female,PhD,1
51,93263,Female,PhD,1
20,93300,Male,PhD,1
67,83171,Male,PhD,0
29,65771,Male,Masters,1
18,113135,Male,PhD,1
61,86354,Female,Masters,0
22,57289,Female,Masters,0
47,53892,Male,Bachelors,1
47,91196,Male,Bachelors,1
34,115057,Female,PhD,1
65,58409,Female,Bachelors,0
64,54470,Female,PhD,1
40,38385,Male,Bachelors,1
32,43296,Female,PhD,0
54,81716,Male,Bachelors,0
38,109152,Male,Bachelors,0
31,46382,Male,Masters,1
19,96675,Female,Bachelors,1
28,117596,Female,Bachelors,1
68,42419,Male,PhD,0
56,113321,Female,Masters,0
55,101238,Male,PhD,1
51,114753,Female,Bachelors,0
55,59291,Male,PhD,0
67,32397,Male,Masters,0
51,77888,Female,PhD,0
35,55169,Female,Bachelors,1
47,82182,Male,PhD,1
32,112476,Female,Bachelors,0
44,62249,Male,Masters,0
68,48341,Male,Masters,0
51,95603,Male,PhD,0
69,66144,Male,Masters,0
55,81772,Male,PhD,1
50,99360,Male,Bachelors,0
41,33444,Male,PhD,1
32,65647,Male,Bachelors,1
47,118843,Female,Masters,0
59,30974,Female,Bachelors,1
68,58383,Male,Bachelors,0
34,114826,Male,Bachelors,0
22,101552,Male,Bachelors,0
46,117648,Female,Bachelors,1
21,114049,Male,PhD,1
27,22956,Male,Bachelors,1
34,28077,Male,Bachelors,0
27,56490,Female,Bachelors,1
34,75612,Female,Bachelors,1
37,56159,Female,Bachelors,1
41,59710,Male,Bachelors,0
22,103536,Male,Masters,1
51,33806,Female,PhD,0
23,98345,Male,Bachelors,1
19,100391,Female,PhD,1
30,114924,Female,Masters,1
60,26458,Male,Masters,0
60,55524,Male,Bachelors,0
65,26853,Male,PhD,1
28,60477,Male,Bachelors,1
68,52222,Female,Masters,0
64,38320,Female,Masters,0
40,114154,Female,PhD,1
33,72243,Female,Bachelors,1
48,65615,Female,PhD,0
28,37352,Female,PhD,1
33,92833,Male,Masters,0
25,113476,Female,PhD,1
21,23203,Male,Masters,1
57,59267,Male,Bachelors,1
21,57941,Female,PhD,1
42,102809,Female,PhD,0
20,45368,Male,Bachelors,1
49,97186,Male,PhD,1
20,50984,Female,Bachelors,1
44,61941,Female,Masters,1
46,92918,Male,Masters,1
49,72683,Female,PhD,1
67,20801,Female,Masters,0
68,67965,Female,Masters,1
36,105269,Female,Bachelors,0
38,29969,Female,Masters,0
22,55969,Male,Masters,0
35,102269,Female,Masters,0
45,52449,Female,Bachelors,1
59,111679,Male,PhD,1
39,45705,Male,Bachelors,1
38,80303,Female,PhD,0
23,48363,Female,PhD,1
